Unnamed: 0,timestampRecorded,tank1Level,tank2Level,tank3Level,tank4Level,tank5Level,tank1Volume,tank2Volume,tank3Volume,tank4Volume,tank5Volume,flowRate,pressureTrashCatchInlet,pressureManifoldInlet,totalVolume,EQT_DEV_RUN_NAME,EQT_DEV_RUN_UID,Gel_Total,InletFlowRate,depth,weightTare,Pipe_On_Pipe_Flow,FlowRate,Drill_Pressure,Biocide_Total,weight,circulationPressure,Friction_Reducer_Total,Friction_Reducer_Conc,time,Gel_Conc,Pipe_On_Pipe_Conc,date,Friction_Reducer_Flow,wellheadPressure,Water_Flow,Temperature,speed,Total,Pipe_On_Pipe_Total,Biocide_Conc,Biocide_Flow,Gel_Flow
462554,1721708919675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,0.0,6466.86,46756.29,0.0,0.0,0.0,0.0,46756.29,3526.645,0.0,0.0,2840.0,0.0,0.0,72324.0,0.0,1538.73,0.0,0.0,58.87254,0.0,0.0,0.0,0.0,0.0
3925181,1722084224552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,0.0,13519.1,56389.95,0.0,0.0,0.0,0.0,56389.95,6194.505,0.0,0.0,84346.0,0.0,0.0,72724.0,0.0,3140.459,0.0,0.0,-29.27884,0.0,0.0,0.0,0.0,0.0
2052090,1721879362507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,32.394566,0.0,0.0,0.0,1.933782,0.0,6479.122,32.394993,0.0,0.0,356.60544,0.0,0.0,0.0,0.0,0.0,9.679413,0.0,4.032823,0.0,0.0,0.0,29.74687,0.0,0.0,0.0
449478,1721707546203,76.29311,70.5549,79.50193,78.347626,0.0,361.1714,332.17047,337.58383,387.9905,0.0,0.0,4.52e-42,2.3630000000000002e-42,1418.9161,Taco Cat South,D-000223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326472,1721694477534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,0.0,0.0,0.0,0.0,7.079900000000001e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.675,0.0,2048.0,0.0,0.0,0.0,0.0
781714,1721742839507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,0.0,0.0,0.0,0.0,7.164600000000001e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.03333,0.0,2080.0,0.0,0.0,0.0,0.0
4044678,1722100332625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,0.0,11007.52,26697.03,0.0,0.0,0.0,0.0,26697.03,6234.505,0.0,0.0,131215.0,0.0,0.0,72724.0,0.0,3244.901,0.0,0.0,0.48141,0.0,0.0,0.0,0.0,0.0
2513881,1721928537311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,0.0,0.0,0.0,0.0,0.0,5775.8457,0.0,0.0,0.0,14.220733,0.0,0.0,0.0,0.0,0.0,9.739749,0.0,4.0596585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2813921,1721960420503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,0.0,0.0,0.0,0.0,34.550278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.32083,0.0,2192.0,0.0,0.0,0.0,0.0
217083,1721682858153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,69.9792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3718291,1722060959173,64.49167,66.05139,70.41795,58.203857,0.0,301.5269,309.40973,305.44473,302.19696,0.0,0.0,4.431e-42,3.985e-42,1218.5784,Taco Cat South,D-000223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594010,1721722889718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,0.0,9645.819,12801.57,0.0,0.0,0.0,0.0,12801.57,7020.192,0.0,0.0,42131.0,0.0,0.0,72324.0,0.0,4687.387,0.0,0.0,-0.4528296,0.0,0.0,0.0,0.0,0.0
286733,1721690258138,81.818016,71.2253,80.691956,78.30303,0.0,389.09424,335.5587,341.79416,387.81213,0.0,0.0,4.7780000000000005e-42,0.0,1454.2593,Taco Cat South,D-000223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1472940,1721817343510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,0.0,0.0,0.0,0.0,199.37943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.708336,0.0,2112.0,0.0,0.0,0.0,0.0
4006711,1722095213151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,60.068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2297706,1721905579505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,0.0,0.0,0.0,0.0,8.197e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.416664,0.0,2160.0,0.0,0.0,0.0,0.0
3798210,1722069445179,61.28867,63.177517,67.93664,58.026936,0.0,285.33893,294.88516,296.66583,301.41852,0.0,0.0,4.455e-42,4.15e-42,1178.3085,Taco Cat South,D-000223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1328121,1721800914089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,32.394566,0.0,0.0,0.0,0.0,0.0,6360.333,32.394993,0.0,0.0,184.8359,0.0,0.0,0.0,0.0,0.0,9.722509,0.0,4.059576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317170,1721799748725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,0.0,15294.56,23839.38,0.0,0.0,0.0,0.0,23839.38,6007.029,0.0,0.0,14228.0,0.0,0.0,72424.0,0.0,3168.151,0.0,0.0,13.14912,0.0,0.0,0.0,0.0,0.0
3363058,1722023156649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,0.0,15352.16,43758.72,0.0,0.0,0.0,0.0,43758.72,6190.096,0.0,0.0,154558.0,0.0,0.0,72624.0,0.0,4069.391,0.0,0.0,-9.886208e-13,0.0,0.0,0.0,0.0,0.0
2753137,1721953964155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,50.1492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
743486,1721738775884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,0.0,10475.76,9186.895,0.0,0.0,0.0,0.0,9186.895,6890.927,0.0,0.0,84616.0,0.0,0.0,72324.0,0.0,4663.439,0.0,0.0,12.81959,0.0,0.0,0.0,0.0,0.0
2036420,1721877699154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,60.05968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375578,1721699691349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,0.0,0.159996,-1380.195,0.0,0.0,0.0,0.0,-1380.195,668.1789,0.0,0.0,215451.0,0.0,0.0,72224.0,0.0,771.3013,0.0,0.0,-6.946266e-14,0.0,0.0,0.0,0.0,0.0
3415646,1722028828320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,0.0,15362.9,33673.46,0.0,0.0,0.0,0.0,33673.46,5878.786,0.0,0.0,172028.0,0.0,0.0,72624.0,0.0,3027.95,0.0,0.0,-9.867449e-13,0.0,0.0,0.0,0.0,0.0
307929,1721692507750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,28.632893,0.0,0.0,0.0,0.0,0.0,9826.001,27.63229,0.0,0.0,339.2388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029088285,0.0,0.0,0.0,983.3541,0.0,0.0,0.0
2829161,1721962039202,60.638245,61.90787,65.17362,56.241512,0.0,282.0517,288.46838,286.8903,293.38678,0.0,0.0,4.4410000000000004e-42,2.7910000000000003e-42,1150.7971,Taco Cat South,D-000223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2249863,1721900501157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,59.887875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026852,1721876683333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,32.394566,0.0,0.0,0.0,1.9410793,0.0,6504.1284,32.394993,0.0,0.0,349.31842,0.0,0.0,0.0,0.0,0.0,9.713891,0.0,4.0487337,0.0,0.0,0.0,28.290516,0.0,0.0,0.0
4115777,1722109918104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,0.0,8061.12,36425.9,0.0,0.0,0.0,0.0,36425.9,6152.141,0.0,0.0,155202.0,0.0,0.0,72724.0,0.0,3067.39,0.0,0.0,-59.08447,0.0,0.0,0.0,0.0,0.0
1473668,1721817441502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taco Cat South,D-000223,0.0,0.0,0.0,0.0,0.0,195.39427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.7125,0.0,2112.0,0.0,0.0,0.0,0.0
